"Arrow_Direction","Arrow_Position","Arrow_X","Arrow_base","Arrow_tip","Block","Block_Loop","CalibCount","Congruence","Correct_response","Left_Picture","Pair_Number","Right_Picture","Trial_ID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_keyboardResponseCalib","correct_keyboardResponseCalib0","correct_keyboardResponseCalib3","correct_keyboard_response","correct_welcome","count_Block_Loop1","count_Block_Loop2","count_Block_Loop3","count_Block_Loop4","count_Pause","count_Practice_block_sequence","count_VAS_fat_craving","count_VAS_sugar_craving","count_arrow_target","count_blackscreen_sketchpad","count_block_sequence","count_calibration_instr_0","count_calibration_instr_1","count_calibration_instr_2","count_calibration_instr_3","count_calibration_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_fixation_dot","count_gaze_calibration","count_gaze_drift_compensation","count_gaze_recording_enable","count_gaze_start","count_gaze_stop","count_gaze_validation","count_instructions","count_instructions_sequence","count_keyboardResponseCalib","count_keyboardResponseCalib0","count_keyboardResponseCalib3","count_keyboard_response","count_keypressCalib","count_keypressCalib0","count_keypressCalib3","count_logger","count_pairs_pictures","count_practice_block_loop","count_practice_loop","count_set_label_fixation_dot","count_set_label_pictures_offset","count_set_label_pictures_onset","count_trial_sequence","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","fat_craving","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","gazeAppPath","height","keyboard_backend","live_row","live_row_practice_block_loop","live_row_practice_loop","logfile","mode","mouse_backend","opensesame_codename","opensesame_version","outputLogPath","practice","repeat_cycle","response","response_Pause","response_end_of_experiment","response_end_of_practice","response_instructions","response_keyboardResponseCalib","response_keyboardResponseCalib0","response_keyboardResponseCalib3","response_keyboard_response","response_time","response_time_Pause","response_time_end_of_experiment","response_time_end_of_practice","response_time_instructions","response_time_keyboardResponseCalib","response_time_keyboardResponseCalib0","response_time_keyboardResponseCalib3","response_time_keyboard_response","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","sugar_craving","time_Block_Loop1","time_Block_Loop2","time_Block_Loop3","time_Block_Loop4","time_Pause","time_Practice_block_sequence","time_VAS_fat_craving","time_VAS_sugar_craving","time_arrow_target","time_blackscreen_sketchpad","time_block_sequence","time_calibration_instr_0","time_calibration_instr_1","time_calibration_instr_2","time_calibration_instr_3","time_calibration_sequence","time_end_of_experiment","time_end_of_practice","time_experiment","time_experimental_loop","time_fixation_dot","time_gaze_calibration","time_gaze_drift_compensation","time_gaze_recording_enable","time_gaze_start","time_gaze_stop","time_gaze_validation","time_instructions","time_instructions_sequence","time_keyboardResponseCalib","time_keyboardResponseCalib0","time_keyboardResponseCalib3","time_keyboard_response","time_keypressCalib","time_keypressCalib0","time_keypressCalib3","time_logger","time_pairs_pictures","time_practice_block_loop","time_practice_loop","time_set_label_fixation_dot","time_set_label_pictures_offset","time_set_label_pictures_onset","time_trial_sequence","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Down","Right","192","-64","64","0","NA","5","1","Down","FL","1","FF","0","undefined","undefined","66789","66789","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","NA","NA","NA","NA","NA","0","0","0","0","1","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Wed Nov  6 13:06:26 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","70","False","sans","False","25","no","#000000","no","90","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","0","0","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-09_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","yes","0","down","NA","NA","NA","right","right","right","c","down","1111.0","NA","NA","NA","93677","137470","18952","41118","1111","204593","return","2","legacy","1024","2","48000","-16","experiment","9","odd","90","NA","NA","NA","NA","NA","690126","206934","237820","694355","691241","NA","248938","360156","368196","405364","360154","NA","NA","2325","NA","691351","446482","690197","690098","245866","NA","550992","596421","596411","267892","248938","405364","694355","405362","267890","446482","695466","692354","691311","690100","691349","694354","692351","691348","2329","Food_Task","0","467525.0","7","yes","1920"
"Up","Left","-192","64","-64","0","NA","5","1","Up","FF","1","FL","0","undefined","undefined","58576","58576","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","NA","NA","NA","NA","NA","0","0","0","1","1","NA","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1","0","0","1","1","1","1","0","Wed Nov  6 13:06:26 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","70","False","sans","False","25","no","#000000","no","90","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","1","1","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-09_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","yes","0","up","NA","NA","NA","right","right","right","c","up","1088.0","NA","NA","NA","93677","137470","18952","41118","1088","204593","return","2","legacy","1024","2","48000","-16","experiment","9","odd","90","NA","NA","NA","NA","NA","690126","206934","237820","698506","691241","NA","248938","360156","368196","405364","360154","NA","NA","2325","NA","695502","446482","690197","690098","245866","NA","550992","596421","596411","267892","248938","405364","698506","405362","267890","446482","699594","696503","691311","690100","695500","698504","696502","695500","2329","Food_Task","0","468613.0","8","yes","1920"
"Down","Right","192","-64","64","0","NA","5","0","Down","FF","1","FL","0","undefined","undefined","52153","52153","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","NA","NA","NA","NA","NA","0","0","0","2","1","NA","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","2","2","0","0","2","2","2","2","0","Wed Nov  6 13:06:26 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","70","False","sans","False","25","no","#000000","no","90","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","2","2","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-09_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","yes","0","down","NA","NA","NA","right","right","right","c","down","766.0","NA","NA","NA","93677","137470","18952","41118","766","204593","return","2","legacy","1024","2","48000","-16","experiment","9","odd","90","NA","NA","NA","NA","NA","690126","206934","237820","702628","691241","NA","248938","360156","368196","405364","360154","NA","NA","2325","NA","699622","446482","690197","690098","245866","NA","550992","596421","596411","267892","248938","405364","702628","405362","267890","446482","703394","700626","691311","690100","699620","702626","700622","699620","2329","Food_Task","0","469379.0","9","yes","1920"
"Up","Left","-192","64","-64","0","NA","5","0","Up","FL","1","FF","0","undefined","undefined","47025","47025","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","NA","NA","NA","NA","NA","0","0","0","3","1","NA","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","3","3","0","0","3","3","3","3","0","Wed Nov  6 13:06:26 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","70","False","sans","False","25","no","#000000","no","90","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","3","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-09_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","yes","0","up","NA","NA","NA","right","right","right","c","up","875.0","NA","NA","NA","93677","137470","18952","41118","875","204593","return","2","legacy","1024","2","48000","-16","experiment","9","odd","90","NA","NA","NA","NA","NA","690126","206934","237820","706423","691241","NA","248938","360156","368196","405364","360154","NA","NA","2325","NA","703419","446482","690197","690098","245866","NA","550992","596421","596411","267892","248938","405364","706423","405362","267890","446482","707298","704422","691311","690100","703417","706422","704419","703417","2329","Food_Task","0","470254.0","10","yes","1920"
"Up","Right","192","64","-64","4","4","5","1","Up","FL","9","FF","36","undefined","undefined","42832","42832","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","0","4","3","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","1","0","0","4","1","0","0","4","4","0","0","4","4","4","4","0","Wed Nov  6 13:06:26 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","70","False","sans","False","25","no","#000000","no","90","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","0","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-09_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","no","0","up","NA","NA","down","right","right","right","c","up","907.0","NA","NA","37700","93677","137470","18952","41118","907","204593","return","2","legacy","1024","2","48000","-16","experiment","9","odd","90","NA","NA","NA","746559","NA","690126","206934","237820","749598","746489","745051","248938","360156","368196","405364","360154","NA","707302","2325","745002","746593","446482","745123","690098","245866","NA","550992","596421","596411","267892","248938","405364","749599","405362","267890","446482","750506","747597","691311","690100","746590","749597","747593","746588","2329","Food_Task","0","471161.0","11","yes","1920"
"Down","Left","-192","-64","64","4","4","5","1","Down","FS","16","FL","61","undefined","undefined","39311","39311","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","0","5","3","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","1","0","0","5","1","0","0","5","5","0","0","5","5","5","5","0","Wed Nov  6 13:06:26 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","70","False","sans","False","25","no","#000000","no","90","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","1","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-09_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","no","0","down","NA","NA","down","right","right","right","c","down","573.0","NA","NA","37700","93677","137470","18952","41118","573","204593","return","2","legacy","1024","2","48000","-16","experiment","9","odd","90","NA","NA","NA","746559","NA","690126","206934","237820","753549","746489","745051","248938","360156","368196","405364","360154","NA","707302","2325","745002","750544","446482","745123","690098","245866","NA","550992","596421","596411","267892","248938","405364","753549","405362","267890","446482","754122","751548","691311","690100","750542","753548","751544","750542","2329","Food_Task","0","471734.0","12","yes","1920"
"Up","Left","-192","64","-64","4","4","5","1","Up","FS","12","FL","45","undefined","undefined","36335","36335","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","0","6","3","0","0","0","0","0","0","0","0","0","0","6","0","1","0","0","0","0","0","0","1","0","0","6","1","0","0","6","6","0","0","6","6","6","6","0","Wed Nov  6 13:06:26 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","70","False","sans","False","25","no","#000000","no","90","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","2","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-09_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","no","0","up","NA","NA","down","right","right","right","c","up","629.0","NA","NA","37700","93677","137470","18952","41118","629","204593","return","2","legacy","1024","2","48000","-16","experiment","9","odd","90","NA","NA","NA","746559","NA","690126","206934","237820","757165","746489","745051","248938","360156","368196","405364","360154","NA","707302","2325","745002","754158","446482","745123","690098","245866","NA","550992","596421","596411","267892","248938","405364","757165","405362","267890","446482","757794","755161","691311","690100","754156","757161","755158","754156","2329","Food_Task","0","472363.0","13","yes","1920"
"Up","Right","192","64","-64","4","4","5","0","Up","FS","18","FL","71","undefined","undefined","33805","33805","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","0","7","3","0","0","0","0","0","0","0","0","0","0","7","0","1","0","0","0","0","0","0","1","0","0","7","1","0","0","7","7","0","0","7","7","7","7","0","Wed Nov  6 13:06:26 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","70","False","sans","False","25","no","#000000","no","90","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","3","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-09_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","no","0","up","NA","NA","down","right","right","right","c","up","914.0","NA","NA","37700","93677","137470","18952","41118","914","204593","return","2","legacy","1024","2","48000","-16","experiment","9","odd","90","NA","NA","NA","746559","NA","690126","206934","237820","760831","746489","745051","248938","360156","368196","405364","360154","NA","707302","2325","745002","757827","446482","745123","690098","245866","NA","550992","596421","596411","267892","248938","405364","760832","405362","267890","446482","761746","758829","691311","690100","757825","760829","758827","757825","2329","Food_Task","0","473277.0","14","yes","1920"
"Up","Right","192","64","-64","4","4","5","1","Up","FL","17","FS","68","undefined","undefined","31597","31597","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","0","8","3","0","0","0","0","0","0","0","0","0","0","8","0","1","0","0","0","0","0","0","1","0","0","8","1","0","0","8","8","0","0","8","8","8","8","0","Wed Nov  6 13:06:26 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","70","False","sans","False","25","no","#000000","no","90","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","4","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-09_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","no","0","up","NA","NA","down","right","right","right","c","up","687.0","NA","NA","37700","93677","137470","18952","41118","687","204593","return","2","legacy","1024","2","48000","-16","experiment","9","odd","90","NA","NA","NA","746559","NA","690126","206934","237820","764779","746489","745051","248938","360156","368196","405364","360154","NA","707302","2325","745002","761774","446482","745123","690098","245866","NA","550992","596421","596411","267892","248938","405364","764779","405362","267890","446482","765466","762776","691311","690100","761772","764776","762774","761772","2329","Food_Task","0","473964.0","15","yes","1920"
"Up","Left","-192","64","-64","4","4","5","0","Up","FL","15","FS","58","undefined","undefined","29675","29675","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","0","9","3","0","0","0","0","0","0","0","0","0","0","9","0","1","0","0","0","0","0","0","1","0","0","9","1","0","0","9","9","0","0","9","9","9","9","0","Wed Nov  6 13:06:26 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","70","False","sans","False","25","no","#000000","no","90","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","5","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-09_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","no","0","up","NA","NA","down","right","right","right","c","up","839.0","NA","NA","37700","93677","137470","18952","41118","839","204593","return","2","legacy","1024","2","48000","-16","experiment","9","odd","90","NA","NA","NA","746559","NA","690126","206934","237820","768499","746489","745051","248938","360156","368196","405364","360154","NA","707302","2325","745002","765496","446482","745123","690098","245866","NA","550992","596421","596411","267892","248938","405364","768499","405362","267890","446482","769338","766497","691311","690100","765494","768497","766496","765494","2329","Food_Task","0","474803.0","16","yes","1920"
