"part_ID","sugar_craving","fat_craving","unhealthy_craving","trial_id","Left_Picture","Right_Picture","accuracy","response_time","Congruence","AOI_visited","DT","First_Fix","n"
"Guest06",40,30,35,1,"FF","FL",1,588,1,"Healthy",1031.001,0,2
"Guest06",40,30,35,1,"FF","FL",1,588,1,"Salty",549.006,1,2
"Guest06",40,30,35,10,"FL","FF",1,576,0,"Healthy",932.007,1,3
"Guest06",40,30,35,10,"FL","FF",1,576,0,"Salty",300.006,0,1
"Guest06",40,30,35,12,"FL","FF",1,538,1,"Healthy",864.998,0,2
"Guest06",40,30,35,12,"FL","FF",1,538,1,"Salty",399.002,1,2
"Guest06",40,30,35,13,"FF","FL",1,481,1,"Healthy",714.994,1,3
"Guest06",40,30,35,13,"FF","FL",1,481,1,"Salty",399.001,0,1
"Guest06",40,30,35,14,"FL","FF",1,643,0,"Healthy",632,1,2
"Guest06",40,30,35,14,"FL","FF",1,643,0,"Salty",799.985,0,3
"Guest06",40,30,35,15,"FF","FL",1,476,0,"Healthy",865.997,0,3
"Guest06",40,30,35,15,"FF","FL",1,476,0,"Salty",532.992,1,2
"Guest06",40,30,35,16,"FL","FF",1,518,1,"Healthy",316.007,1,1
"Guest06",40,30,35,16,"FL","FF",1,518,1,"Salty",632,0,1
"Guest06",40,30,35,17,"FF","FL",1,754,1,"Healthy",648.984,0,2
"Guest06",40,30,35,17,"FF","FL",1,754,1,"Salty",832,1,1
"Guest06",40,30,35,18,"FL","FF",1,512,0,"Healthy",849.012,1,4
"Guest06",40,30,35,18,"FL","FF",1,512,0,"Salty",632.001,0,2
"Guest06",40,30,35,19,"FF","FL",1,485,0,"Healthy",880.999,0,2
"Guest06",40,30,35,19,"FF","FL",1,485,0,"Salty",232.999,1,1
"Guest06",40,30,35,2,"FL","FF",1,601,0,"Healthy",1097.012,1,6
"Guest06",40,30,35,2,"FL","FF",1,601,0,"Salty",281.997,0,1
"Guest06",40,30,35,20,"FL","FF",1,537,1,"Healthy",616.998,1,1
"Guest06",40,30,35,20,"FL","FF",1,537,1,"Salty",615.002,0,3
