"trial_id","sx","sy","px","py","pz","duration","timestamp","trial_onset","label","label_onset","subject_nr.x","AOI_visited","subject_nr.y","fat_craving","sugar_craving","Block","practice","Arrow_Direction","Arrow_Position","Congruence","Left_Picture","Right_Picture","Pair_Number","response","response_time","accuracy","part_ID"
1,0.3877272605896,0.486939400434494,-55.1151504516602,142.206680297852,44.9233322143555,167.001,1247.002,216.999,"Pictures_Onset",197.005,"07","Salty",7,60,90,1,"no","up","Left",1,"FF","FL",1,"up",715,1,"Students07"
1,0.387791663408279,0.488916665315628,-55.1249961853027,141.73583984375,44.7533302307129,117.004,1447.002,416.999,"Pictures_Onset",397.005,"07","Salty",7,60,90,1,"no","up","Left",1,"FF","FL",1,"up",715,1,"Students07"
1,0.397589713335037,0.481743544340134,-50.3323020935059,143.530502319336,45.4033355712891,200,1597.005,567.002,"Pictures_Onset",547.008,"07","Salty",7,60,90,1,"no","up","Left",1,"FF","FL",1,"up",715,1,"Students07"
1,0.59995836019516,0.502916634082794,46.0579147338867,138.205001831055,43.4666633605957,116.006,1863.002,832.999,"Pictures_Onset",813.005,"07","Healthy",7,60,90,1,"no","up","Left",1,"FF","FL",1,"up",715,1,"Students07"
1,0.622333347797394,0.523444473743439,56.7474975585938,133.013885498047,41.5752754211426,182.003,2063.002,1032.999,"Pictures_Onset",1013.005,"07","Healthy",7,60,90,1,"no","up","Left",1,"FF","FL",1,"up",715,1,"Students07"
1,0.665144979953766,0.458956509828568,77.1204376220703,149.286666870117,47.4992713928223,367.001,2295.002,1264.999,"Pictures_Onset",1245.005,"07","Healthy",7,60,90,1,"no","up","Left",1,"FF","FL",1,"up",715,1,"Students07"
1,0.66351854801178,0.503629624843597,76.3537063598633,138.035186767578,43.4037017822266,133.004,2695.002,1664.999,"Pictures_Onset",1645.005,"07","Healthy",7,60,90,1,"no","up","Left",1,"FF","FL",1,"up",715,1,"Students07"
1,0.663250029087067,0.508291661739349,76.2425003051758,136.864166259766,42.9787483215332,115.008,2862.003,1832,"Pictures_Onset",1812.006,"07","Healthy",7,60,90,1,"no","up","Left",1,"FF","FL",1,"up",715,1,"Students07"
2,0.364333301782608,0.502641022205353,-66.1912841796875,138.254119873047,43.4848709106445,200,1247.002,216,"Pictures_Onset",197.005,"07","Healthy",7,60,90,2,"no","up","Left",0,"FL","FF",1,"up",579,1,"Students07"
2,0.626349151134491,0.505793690681458,58.6303291320801,137.476348876953,43.199047088623,332.006,1529.997,498.995,"Pictures_Onset",480,"07","Salty",7,60,90,2,"no","up","Left",0,"FL","FF",1,"up",579,1,"Students07"
2,0.644642889499664,0.490428626537323,67.3752288818359,141.348098754883,44.6092834472656,216.998,1895.002,864,"Pictures_Onset",845.005,"07","Salty",7,60,90,2,"no","up","Left",0,"FL","FF",1,"up",579,1,"Students07"
2,0.623291671276093,0.499395847320557,57.1841697692871,139.075408935547,43.7818717956543,247.987,2146.01,1115.008,"Pictures_Onset",1096.013,"07","Salty",7,60,90,2,"no","up","Left",0,"FL","FF",1,"up",579,1,"Students07"
2,0.382733315229416,0.49202224612236,-57.4679985046387,140.95866394043,44.4680023193359,232.998,2578.01,1547.008,"Pictures_Onset",1528.013,"07","Healthy",7,60,90,2,"no","up","Left",0,"FL","FF",1,"up",579,1,"Students07"
3,0.388555556535721,0.514666676521301,-54.7969398498535,135.233047485352,42.3849983215332,184,1285.005,249.997,"Pictures_Onset",235.008,"07","Salty",7,60,90,3,"no","down","Right",0,"FF","FL",1,"down",723,1,"Students07"
3,0.613979160785675,0.502833366394043,52.7566604614258,138.208740234375,43.4675025939941,248.998,1669.005,633.997,"Pictures_Onset",619.008,"07","Healthy",7,60,90,3,"no","down","Right",0,"FF","FL",1,"down",723,1,"Students07"
3,0.624577701091766,0.519133329391479,57.8235549926758,134.148223876953,41.9879989624023,232.998,1951.002,915.994,"Pictures_Onset",901.005,"07","Healthy",7,60,90,3,"no","down","Right",0,"FF","FL",1,"down",723,1,"Students07"
3,0.624666571617126,0.474958330392838,57.8822860717773,145.239593505859,46.0266647338867,250.01,2232.998,1197.99,"Pictures_Onset",1183.001,"07","Healthy",7,60,90,3,"no","down","Right",0,"FF","FL",1,"down",723,1,"Students07"
