"Arrow_Direction","Arrow_Position","Arrow_X","Arrow_base","Arrow_tip","Block","Block_Loop","CalibCount","Congruence","Correct_response","Left_Picture","Pair_Number","Right_Picture","Trial_ID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_keyboardResponseCalib","correct_keyboardResponseCalib0","correct_keyboardResponseCalib3","correct_keyboard_response","correct_welcome","count_Block_Loop1","count_Block_Loop2","count_Block_Loop3","count_Block_Loop4","count_Pause","count_Practice_block_sequence","count_VAS_fat_craving","count_VAS_sugar_craving","count_arrow_target","count_blackscreen_sketchpad","count_block_sequence","count_calibration_instr_0","count_calibration_instr_1","count_calibration_instr_2","count_calibration_instr_3","count_calibration_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_fixation_dot","count_gaze_calibration","count_gaze_drift_compensation","count_gaze_recording_enable","count_gaze_start","count_gaze_stop","count_gaze_validation","count_instructions","count_instructions_sequence","count_keyboardResponseCalib","count_keyboardResponseCalib0","count_keyboardResponseCalib3","count_keyboard_response","count_keypressCalib","count_keypressCalib0","count_keypressCalib3","count_logger","count_pairs_pictures","count_practice_block_loop","count_practice_loop","count_set_label_fixation_dot","count_set_label_pictures_offset","count_set_label_pictures_onset","count_trial_sequence","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","fat_craving","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","gazeAppPath","height","keyboard_backend","live_row","live_row_practice_block_loop","live_row_practice_loop","logfile","mode","mouse_backend","opensesame_codename","opensesame_version","outputLogPath","practice","repeat_cycle","response","response_Pause","response_end_of_experiment","response_end_of_practice","response_instructions","response_keyboardResponseCalib","response_keyboardResponseCalib0","response_keyboardResponseCalib3","response_keyboard_response","response_time","response_time_Pause","response_time_end_of_experiment","response_time_end_of_practice","response_time_instructions","response_time_keyboardResponseCalib","response_time_keyboardResponseCalib0","response_time_keyboardResponseCalib3","response_time_keyboard_response","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","sugar_craving","time_Block_Loop1","time_Block_Loop2","time_Block_Loop3","time_Block_Loop4","time_Pause","time_Practice_block_sequence","time_VAS_fat_craving","time_VAS_sugar_craving","time_arrow_target","time_blackscreen_sketchpad","time_block_sequence","time_calibration_instr_0","time_calibration_instr_1","time_calibration_instr_2","time_calibration_instr_3","time_calibration_sequence","time_end_of_experiment","time_end_of_practice","time_experiment","time_experimental_loop","time_fixation_dot","time_gaze_calibration","time_gaze_drift_compensation","time_gaze_recording_enable","time_gaze_start","time_gaze_stop","time_gaze_validation","time_instructions","time_instructions_sequence","time_keyboardResponseCalib","time_keyboardResponseCalib0","time_keyboardResponseCalib3","time_keyboard_response","time_keypressCalib","time_keypressCalib0","time_keypressCalib3","time_logger","time_pairs_pictures","time_practice_block_loop","time_practice_loop","time_set_label_fixation_dot","time_set_label_pictures_offset","time_set_label_pictures_onset","time_trial_sequence","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Down","Right","192","-64","64","0","NA","5","1","Down","FL","1","FF","0","undefined","undefined","35752","35752","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","NA","NA","NA","NA","NA","0","0","0","0","1","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Wed Nov  6 13:14:32 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","30","False","sans","False","25","no","#000000","no","60","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","0","0","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-19_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","yes","0","down","NA","NA","NA","up","right","right","c","down","1557.0","NA","NA","NA","47031","96054","26290","13742","1557","15131","return","2","legacy","1024","2","48000","-16","experiment","19","odd","60","NA","NA","NA","NA","NA","449324","17536","47064","457550","454431","NA","61113","87406","128527","183462","61109","NA","NA","2391","NA","454547","197205","449396","449300","58060","NA","328723","402269","402260","87406","61114","183462","457551","183461","87405","197205","459108","455549","454501","449301","454544","457549","455547","454539","2394","Food_Task","0","178761.0","5","yes","1920"
"Up","Left","-192","64","-64","0","NA","5","0","Up","FL","1","FF","0","undefined","undefined","30293","30293","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","NA","NA","NA","NA","NA","0","0","0","1","1","NA","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1","0","0","1","1","1","1","0","Wed Nov  6 13:14:32 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","30","False","sans","False","25","no","#000000","no","60","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","1","1","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-19_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","yes","0","None","NA","NA","NA","up","right","right","c","None","3000.0","NA","NA","NA","47031","96054","26290","13742","3000","15131","return","2","legacy","1024","2","48000","-16","experiment","19","odd","60","NA","NA","NA","NA","NA","449324","17536","47064","462148","454431","NA","61113","87406","128527","183462","61109","NA","NA","2391","NA","459144","197205","449396","449300","58060","NA","328723","402269","402260","87406","61114","183462","462148","183461","87405","197205","465148","460146","454501","449301","459142","462146","460144","459142","2394","Food_Task","0","181761.0","6","yes","1920"
"Up","Left","-192","64","-64","0","NA","5","1","Up","FF","1","FL","0","undefined","undefined","26071","26071","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","NA","NA","NA","NA","NA","0","0","0","2","1","NA","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","2","2","0","0","2","2","2","2","0","Wed Nov  6 13:14:32 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","30","False","sans","False","25","no","#000000","no","60","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","2","2","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-19_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","yes","0","up","NA","NA","NA","up","right","right","c","up","737.0","NA","NA","NA","47031","96054","26290","13742","737","15131","return","2","legacy","1024","2","48000","-16","experiment","19","odd","60","NA","NA","NA","NA","NA","449324","17536","47064","468179","454431","NA","61113","87406","128527","183462","61109","NA","NA","2391","NA","465172","197205","449396","449300","58060","NA","328723","402269","402260","87406","61114","183462","468179","183461","87405","197205","468916","466177","454501","449301","465170","468177","466172","465170","2394","Food_Task","0","182498.0","7","yes","1920"
"Down","Right","192","-64","64","0","NA","5","0","Down","FF","1","FL","0","undefined","undefined","22890","22890","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","NA","NA","NA","NA","NA","0","0","0","3","1","NA","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","3","3","0","0","3","3","3","3","0","Wed Nov  6 13:14:32 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","30","False","sans","False","25","no","#000000","no","60","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","3","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-19_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","yes","0","down","NA","NA","NA","up","right","right","c","down","628.0","NA","NA","NA","47031","96054","26290","13742","628","15131","return","2","legacy","1024","2","48000","-16","experiment","19","odd","60","NA","NA","NA","NA","NA","449324","17536","47064","471944","454431","NA","61113","87406","128527","183462","61109","NA","NA","2391","NA","468939","197205","449396","449300","58060","NA","328723","402269","402260","87406","61114","183462","471944","183461","87405","197205","472572","469943","454501","449301","468937","471943","469939","468937","2394","Food_Task","0","183126.0","8","yes","1920"
"Up","Left","-192","64","-64","4","4","5","1","Up","FS","12","FL","45","undefined","undefined","20410","20410","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","0","4","3","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","1","0","0","4","1","0","0","4","4","0","0","4","4","4","4","0","Wed Nov  6 13:14:32 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","30","False","sans","False","25","no","#000000","no","60","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","0","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-19_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","no","0","up","NA","NA","up","up","right","right","c","up","569.0","NA","NA","16189","47031","96054","26290","13742","569","15131","return","2","legacy","1024","2","48000","-16","experiment","19","odd","60","NA","NA","NA","493996","NA","449324","17536","47064","497035","493926","488812","61113","87406","128527","183462","61109","NA","472575","2391","488764","494030","197205","488884","449300","58060","NA","328723","402269","402260","87406","61114","183462","497035","183461","87405","197205","497604","495033","454501","449301","494027","497033","495030","494021","2394","Food_Task","0","183695.0","9","yes","1920"
"Up","Right","192","64","-64","4","4","5","0","Up","FF","10","FL","39","undefined","undefined","18437","18437","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","0","5","3","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","1","0","0","5","1","0","0","5","5","0","0","5","5","5","5","0","Wed Nov  6 13:14:32 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","30","False","sans","False","25","no","#000000","no","60","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","1","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-19_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","no","0","up","NA","NA","up","up","right","right","c","up","679.0","NA","NA","16189","47031","96054","26290","13742","679","15131","return","2","legacy","1024","2","48000","-16","experiment","19","odd","60","NA","NA","NA","493996","NA","449324","17536","47064","500637","493926","488812","61113","87406","128527","183462","61109","NA","472575","2391","488764","497633","197205","488884","449300","58060","NA","328723","402269","402260","87406","61114","183462","500637","183461","87405","197205","501316","498635","454501","449301","497631","500635","498633","497631","2394","Food_Task","0","184374.0","10","yes","1920"
"Up","Left","-192","64","-64","4","4","5","1","Up","FF","4","FL","13","undefined","undefined","16811","16811","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","0","6","3","0","0","0","0","0","0","0","0","0","0","6","0","1","0","0","0","0","0","0","1","0","0","6","1","0","0","6","6","0","0","6","6","6","6","0","Wed Nov  6 13:14:32 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","30","False","sans","False","25","no","#000000","no","60","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","2","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-19_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","no","0","up","NA","NA","up","up","right","right","c","up","554.0","NA","NA","16189","47031","96054","26290","13742","554","15131","return","2","legacy","1024","2","48000","-16","experiment","19","odd","60","NA","NA","NA","493996","NA","449324","17536","47064","504354","493926","488812","61113","87406","128527","183462","61109","NA","472575","2391","488764","501349","197205","488884","449300","58060","NA","328723","402269","402260","87406","61114","183462","504354","183461","87405","197205","504908","502352","454501","449301","501347","504352","502349","501347","2394","Food_Task","0","184928.0","11","yes","1920"
"Down","Right","192","-64","64","4","4","5","0","Down","FF","2","FL","7","undefined","undefined","15448","15448","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","0","7","3","0","0","0","0","0","0","0","0","0","0","7","0","1","0","0","0","0","0","0","1","0","0","7","1","0","0","7","7","0","0","7","7","7","7","0","Wed Nov  6 13:14:32 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","30","False","sans","False","25","no","#000000","no","60","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","3","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-19_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","no","0","down","NA","NA","up","up","right","right","c","down","455.0","NA","NA","16189","47031","96054","26290","13742","455","15131","return","2","legacy","1024","2","48000","-16","experiment","19","odd","60","NA","NA","NA","493996","NA","449324","17536","47064","507941","493926","488812","61113","87406","128527","183462","61109","NA","472575","2391","488764","504936","197205","488884","449300","58060","NA","328723","402269","402260","87406","61114","183462","507941","183461","87405","197205","508396","505939","454501","449301","504934","507939","505936","504934","2394","Food_Task","0","185383.0","12","yes","1920"
"Up","Left","-192","64","-64","4","4","5","0","Up","FL","3","FF","10","undefined","undefined","14316","14316","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","0","8","3","0","0","0","0","0","0","0","0","0","0","8","0","1","0","0","0","0","0","0","1","0","0","8","1","0","0","8","8","0","0","8","8","8","8","0","Wed Nov  6 13:14:32 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","30","False","sans","False","25","no","#000000","no","60","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","4","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-19_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","no","0","up","NA","NA","up","up","right","right","c","up","725.0","NA","NA","16189","47031","96054","26290","13742","725","15131","return","2","legacy","1024","2","48000","-16","experiment","19","odd","60","NA","NA","NA","493996","NA","449324","17536","47064","511431","493926","488812","61113","87406","128527","183462","61109","NA","472575","2391","488764","508425","197205","488884","449300","58060","NA","328723","402269","402260","87406","61114","183462","511431","183461","87405","197205","512156","509429","454501","449301","508423","511429","509425","508423","2394","Food_Task","0","186108.0","13","yes","1920"
"Down","Left","-192","-64","64","4","4","5","1","Down","FS","16","FL","61","undefined","undefined","13350","13350","#d9d9d9","yes","legacy","legacy","legacy","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","0","9","3","0","0","0","0","0","0","0","0","0","0","9","0","1","0","0","0","0","0","0","1","0","0","9","1","0","0","9","9","0","0","9","9","9","9","0","Wed Nov  6 13:14:32 2024","A template for eye-tracking experiments","False","CET_lab_version.osexp","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Paradigm\OpenSesame","30","False","sans","False","25","no","#000000","no","60","True","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Software\EyeTracking\v3.5.3","1080","legacy","5","3","0","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Behavior\PSY-NEUROSOZ-19_06.11.2024.csv","lib","legacy","Melodramatic Milgram","4.0.5","\\192.168.100.10\runexp\experiments\ZB_EyeTracking_CarbonEmissionTask\Data\Seminar","no","0","down","NA","NA","up","up","right","right","c","down","803.0","NA","NA","16189","47031","96054","26290","13742","803","15131","return","2","legacy","1024","2","48000","-16","experiment","19","odd","60","NA","NA","NA","493996","NA","449324","17536","47064","515193","493926","488812","61113","87406","128527","183462","61109","NA","472575","2391","488764","512188","197205","488884","449300","58060","NA","328723","402269","402260","87406","61114","183462","515193","183461","87405","197205","515996","513192","454501","449301","512186","515192","513188","512186","2394","Food_Task","0","186911.0","14","yes","1920"
